račun,naučenost,čas,count,score
8*6,0.00,0.00,0,300
8*7,0.00,0.00,0,300
8*8,0.00,0.00,0,300
8*9,0.00,0.00,0,300
8*10,0.00,0.00,0,300
9*1,0.00,0.00,0,300
9*2,0.00,0.00,0,300
9*3,0.00,0.00,0,300
9*4,0.00,0.00,0,300
9*5,0.00,0.00,0,300
9*6,0.00,0.00,0,300
9*7,0.00,0.00,0,300
9*8,0.00,0.00,0,300
9*9,0.00,0.00,0,300
9*10,0.00,0.00,0,300
10*1,3.16,5631.35,3,300
10*2,2.90,2565.84,3,300
10*3,2.98,1287.70,2,300
10*4,2.98,2601.46,3,300
10*5,3.68,1178.50,2,300
10*6,2.36,2321.50,2,300
10*7,2.83,1430.80,2,300
10*8,4.70,1691.10,3,300
10*9,2.23,1983.90,2,300
10*10,4.86,839.90,2,300
1:1,0.00,0.00,0,300
2:1,0.00,0.00,0,300
3:1,0.00,0.00,0,300
4:1,0.00,0.00,0,300
5:1,0.00,0.00,0,300
6:1,0.00,0.00,0,300
7:1,0.00,0.00,0,300
8:1,0.00,0.00,0,300
9:1,0.00,0.00,0,300
10:1,0.00,0.00,0,300
2:2,3.51,3503.38,5,300
4:2,2.58,6103.68,4,300
6:2,2.45,6019.46,3,300
8:2,2.95,5842.95,4,300
10:2,2.66,4580.12,3,300
12:2,2.62,3063.71,3,300
14:2,3.26,15481.23,5,300
16:2,3.52,10548.15,6,300
18:2,2.63,3524.87,3,300
20:2,2.68,4160.57,3,300
3:3,4.12,5086.44,4,300
6:3,2.60,8419.79,4,300
9:3,3.07,9436.19,4,300
12:3,2.00,6265.98,5,300
15:3,2.89,2468.91,3,300
18:3,1.32,9610.31,7,300
21:3,2.72,3150.99,3,300
24:3,2.72,2156.46,3,300
27:3,3.00,6050.58,3,300
30:3,3.43,2528.67,3,300
4:4,2.59,4888.56,3,300
8:4,4.13,3119.02,4,300
12:4,3.13,4291.23,4,300
16:4,3.11,10156.59,4,300
20:4,2.97,5558.73,4,300
24:4,2.19,2378.50,2,300
28:4,2.66,3345.91,3,300
32:4,2.94,4485.43,5,300
36:4,2.72,3867.83,3,300
40:4,2.67,3402.54,3,300
5:5,3.09,10512.17,4,300
10:5,2.64,4595.27,4,300
15:5,2.99,2365.11,3,300
20:5,2.37,6576.16,3,300
25:5,3.55,1901.89,3,300
30:5,2.95,5286.65,4,300
35:5,2.72,5257.66,4,300
40:5,3.12,6460.91,8,300
45:5,2.24,10933.76,3,300
50:5,3.41,2379.52,3,300
6:6,0.00,0.00,0,300
12:6,0.00,0.00,0,300
18:6,0.00,0.00,0,300
24:6,0.00,0.00,0,300
30:6,0.00,0.00,0,300
36:6,0.00,0.00,0,300
42:6,0.00,0.00,0,300
48:6,0.00,0.00,0,300
54:6,0.00,0.00,0,300
60:6,0.00,0.00,0,300
7:7,0.00,0.00,0,300
14:7,0.00,0.00,0,300
21:7,0.00,0.00,0,300
28:7,0.00,0.00,0,300
35:7,0.00,0.00,0,300
42:7,0.00,0.00,0,300
49:7,0.00,0.00,0,300
56:7,0.00,0.00,0,300
63:7,0.00,0.00,0,300
70:7,0.00,0.00,0,300
8:8,0.00,0.00,0,300
16:8,0.00,0.00,0,300
24:8,0.00,0.00,0,300
32:8,0.00,0.00,0,300
40:8,0.00,0.00,0,300
48:8,0.00,0.00,0,300
56:8,0.00,0.00,0,300
64:8,0.00,0.00,0,300
72:8,0.00,0.00,0,300
80:8,0.00,0.00,0,300
9:9,0.00,0.00,0,300
18:9,0.00,0.00,0,300
27:9,0.00,0.00,0,300
36:9,0.00,0.00,0,300
45:9,0.00,0.00,0,300
54:9,0.00,0.00,0,300
63:9,0.00,0.00,0,300
72:9,0.00,0.00,0,300
81:9,0.00,0.00,0,300
90:9,0.00,0.00,0,300
10:10,3.50,6891.21,4,300
20:10,2.64,3952.39,3,300
30:10,3.26,7391.78,4,300
40:10,3.09,3628.83,3,300
50:10,3.10,1489.40,2,300
60:10,3.86,1242.10,2,300
70:10,3.31,1363.50,2,300
80:10,3.30,2524.81,3,300
90:10,3.48,4477.75,4,300
100:10,3.61,3472.94,3,300
1*1,0.00,0.00,0,400
1*2,0.00,0.00,0,400
1*3,0.00,0.00,0,400
1*4,0.00,0.00,0,400
1*5,0.00,0.00,0,400
1*6,0.00,0.00,0,400
1*7,0.00,0.00,0,400
1*8,0.00,0.00,0,400
1*9,0.00,0.00,0,400
1*10,0.00,0.00,0,400
2*1,4.12,3971.44,4,400
2*2,4.61,2897.10,4,400
2*3,3.24,4069.99,4,400
2*4,3.68,7823.31,4,400
2*5,5.01,2134.00,4,400
2*6,3.97,3817.93,5,400
2*7,4.13,5866.90,6,400
2*8,3.90,3296.67,5,400
2*9,3.79,4679.65,4,400
2*10,3.99,1406.94,3,400
3*1,3.39,3555.65,4,400
3*2,3.50,3201.48,4,400
3*3,3.01,7353.88,10,400
3*4,2.87,5153.54,3,400
3*5,3.44,10873.54,6,400
3*6,3.41,5857.10,8,400
3*7,4.24,9035.98,5,400
3*8,3.45,6037.38,5,400
3*9,3.37,11200.84,6,400
3*10,3.47,2022.92,3,400
4*1,4.41,2667.26,4,400
4*2,4.61,2054.94,4,400
4*3,3.65,2637.64,3,400
4*4,4.03,1625.04,3,400
4*5,3.96,4295.23,5,400
4*6,3.67,5932.53,5,400
4*7,3.42,4001.56,6,400
4*8,3.11,7141.89,5,400
4*9,3.82,3433.20,5,400
4*10,4.76,1348.88,3,400
5*1,3.55,1741.37,3,400
5*2,3.16,2068.25,3,400
5*3,3.74,6067.68,6,400
5*4,3.50,3795.17,4,400
5*5,3.50,2968.23,4,400
5*6,3.88,6024.79,6,400
5*7,3.79,5341.93,6,400
5*8,3.92,2677.18,4,400
5*9,3.58,3008.15,4,400
5*10,3.39,1832.73,3,400
